"Statistic Label","Quarter","Migration Flow","Age Group","Nationality","Migration Calculation Method","UNIT","VALUE"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","2046"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","Other nationalities (3)","Base migration calculation method","Number","999"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","Other nationalities (3)","Base plus education migration calculation method","Number","958"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","Ireland","Base migration calculation method","Number","2733"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","Ireland","Base plus education migration calculation method","Number","2647"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","328"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","323"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","Brazil","Base migration calculation method","Number","290"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","Brazil","Base plus education migration calculation method","Number","287"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","India","Base migration calculation method","Number","148"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","India","Base plus education migration calculation method","Number",""
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","Ukraine","Base migration calculation method","Number","11"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","Ukraine","Base plus education migration calculation method","Number",""
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","All nationalities","Base migration calculation method","Number","7234"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","All nationalities","Base plus education migration calculation method","Number","7096"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","773"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","769"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","2142"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","2124"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","Other nationalities (3)","Base migration calculation method","Number","809"
"Estimated migration flows","2022Q3","Outward migration","35 - 44 years","Other nationalities (3)","Base plus education migration calculation method","Number","792"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","Ireland","Base migration calculation method","Number","6519"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","Ireland","Base plus education migration calculation method","Number","6400"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","763"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","754"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","Brazil","Base migration calculation method","Number","75"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","Brazil","Base plus education migration calculation method","Number","72"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","India","Base migration calculation method","Number","50"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","India","Base plus education migration calculation method","Number",""
"Estimated migration flows","2022Q3","Outward migration","45 years and over","Ukraine","Base migration calculation method","Number","11"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","Ukraine","Base plus education migration calculation method","Number",""
"Estimated migration flows","2022Q3","Outward migration","45 years and over","All nationalities","Base migration calculation method","Number","10533"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","All nationalities","Base plus education migration calculation method","Number","10368"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","472"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","467"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","1603"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","1597"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","Other nationalities (3)","Base migration calculation method","Number","1040"
"Estimated migration flows","2022Q3","Outward migration","45 years and over","Other nationalities (3)","Base plus education migration calculation method","Number","1018"
"Estimated migration flows","2022Q3","Outward migration","All ages","Ireland","Base migration calculation method","Number","19932"
"Estimated migration flows","2022Q3","Outward migration","All ages","Ireland","Base plus education migration calculation method","Number","17181"
"Estimated migration flows","2022Q3","Outward migration","All ages","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","1718"
"Estimated migration flows","2022Q3","Outward migration","All ages","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","1627"
"Estimated migration flows","2022Q3","Outward migration","All ages","Brazil","Base migration calculation method","Number","930"
"Estimated migration flows","2022Q3","Outward migration","All ages","Brazil","Base plus education migration calculation method","Number","906"
"Estimated migration flows","2022Q3","Outward migration","All ages","India","Base migration calculation method","Number","555"
"Estimated migration flows","2022Q3","Outward migration","All ages","India","Base plus education migration calculation method","Number",""
"Estimated migration flows","2022Q3","Outward migration","All ages","Ukraine","Base migration calculation method","Number","32"
"Estimated migration flows","2022Q3","Outward migration","All ages","Ukraine","Base plus education migration calculation method","Number",""
"Estimated migration flows","2022Q3","Outward migration","All ages","All nationalities","Base migration calculation method","Number","37134"
"Estimated migration flows","2022Q3","Outward migration","All ages","All nationalities","Base plus education migration calculation method","Number","33663"
"Estimated migration flows","2022Q3","Outward migration","All ages","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","3734"
"Estimated migration flows","2022Q3","Outward migration","All ages","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","3651"
"Estimated migration flows","2022Q3","Outward migration","All ages","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","6805"
"Estimated migration flows","2022Q3","Outward migration","All ages","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","6646"
"Estimated migration flows","2022Q3","Outward migration","All ages","Other nationalities (3)","Base migration calculation method","Number","3428"
"Estimated migration flows","2022Q3","Outward migration","All ages","Other nationalities (3)","Base plus education migration calculation method","Number","3098"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","Ireland","Base migration calculation method","Number","1647"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","Ireland","Base plus education migration calculation method","Number","-629"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","406"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","430"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","Brazil","Base migration calculation method","Number","783"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","Brazil","Base plus education migration calculation method","Number","804"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","India","Base migration calculation method","Number","1499"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","India","Base plus education migration calculation method","Number","1550"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","Ukraine","Base migration calculation method","Number","4567"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","Ukraine","Base plus education migration calculation method","Number","4731"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","All nationalities","Base migration calculation method","Number","15948"
