"Statistic Label","Year","Sex","Nationality","UNIT","VALUE"
"Population Estimates using Administrative Data","2022","Male","Italian","Number","1955"
"Population Estimates using Administrative Data","2022","Male","Lithuanian","Number","783"
"Population Estimates using Administrative Data","2022","Male","Latvian","Number","503"
"Population Estimates using Administrative Data","2022","Male","Nigerian","Number","951"
"Population Estimates using Administrative Data","2022","Male","Dutch","Number","313"
"Population Estimates using Administrative Data","2022","Male","Other EU28","Number","987"
"Population Estimates using Administrative Data","2022","Male","Other nationalities","Number","8289"
"Population Estimates using Administrative Data","2022","Male","Filipino","Number","492"
"Population Estimates using Administrative Data","2022","Male","Pakistani","Number","814"
"Population Estimates using Administrative Data","2022","Male","Polish","Number","2672"
"Population Estimates using Administrative Data","2022","Male","Portuguese","Number","1417"
"Population Estimates using Administrative Data","2022","Male","Romanian","Number","6242"
"Population Estimates using Administrative Data","2022","Male","Slovak","Number","385"
"Population Estimates using Administrative Data","2022","Male","Ukrainian","Number","12707"
"Population Estimates using Administrative Data","2022","Male","American (US)","Number","650"
"Population Estimates using Administrative Data","2022","Male","South African","Number","608"
"Population Estimates using Administrative Data","2022","Male","Not stated","Number","0"
"Population Estimates using Administrative Data","2022","Male","All nationalities","Number","110539"
"Population Estimates using Administrative Data","2022","Female","Australian","Number","286"
"Population Estimates using Administrative Data","2022","Female","Bulgarian","Number","597"
"Population Estimates using Administrative Data","2022","Female","Brazilian","Number","3469"
"Population Estimates using Administrative Data","2022","Female","Chinese","Number","672"
"Population Estimates using Administrative Data","2022","Female","Czech","Number","239"
"Population Estimates using Administrative Data","2022","Female","German","Number","631"
"Population Estimates using Administrative Data","2022","Female","Spanish","Number","2264"
"Population Estimates using Administrative Data","2022","Female","French","Number","836"
"Population Estimates using Administrative Data","2022","Female","UK","Number","3042"
"Population Estimates using Administrative Data","2022","Female","Croatian","Number","542"
"Population Estimates using Administrative Data","2022","Female","Hungarian","Number","328"
"Population Estimates using Administrative Data","2022","Female","Irish","Number","45304"
"Population Estimates using Administrative Data","2022","Female","Indian","Number","5284"
"Population Estimates using Administrative Data","2022","Female","Italian","Number","1547"
"Population Estimates using Administrative Data","2022","Female","Lithuanian","Number","554"
"Population Estimates using Administrative Data","2022","Female","Latvian","Number","410"
"Population Estimates using Administrative Data","2022","Female","Nigerian","Number","687"
"Population Estimates using Administrative Data","2022","Female","Dutch","Number","263"
"Population Estimates using Administrative Data","2022","Female","Other EU28","Number","812"
"Population Estimates using Administrative Data","2022","Female","Other nationalities","Number","7100"
"Population Estimates using Administrative Data","2022","Female","Filipino","Number","576"
"Population Estimates using Administrative Data","2022","Female","Pakistani","Number","516"
"Population Estimates using Administrative Data","2022","Female","Polish","Number","1945"
"Population Estimates using Administrative Data","2022","Female","Portuguese","Number","903"
"Population Estimates using Administrative Data","2022","Female","Romanian","Number","3098"
"Population Estimates using Administrative Data","2022","Female","Slovak","Number","330"
"Population Estimates using Administrative Data","2022","Female","Ukrainian","Number","24225"
"Population Estimates using Administrative Data","2022","Female","American (US)","Number","972"
"Population Estimates using Administrative Data","2022","Female","South African","Number","599"
"Population Estimates using Administrative Data","2022","Female","Not stated","Number","0"
"Population Estimates using Administrative Data","2022","Female","All nationalities","Number","108031"
"Population Estimates using Administrative Data","2023","Both sexes","Australian","Number","928"
"Population Estimates using Administrative Data","2023","Both sexes","Bulgarian","Number","1256"
"Population Estimates using Administrative Data","2023","Both sexes","Brazilian","Number","14149"
"Population Estimates using Administrative Data","2023","Both sexes","Chinese","Number","2582"
"Population Estimates using Administrative Data","2023","Both sexes","Czech","Number","678"
"Population Estimates using Administrative Data","2023","Both sexes","German","Number","1679"
"Population Estimates using Administrative Data","2023","Both sexes","Spanish","Number","6135"
"Population Estimates using Administrative Data","2023","Both sexes","French","Number","2331"
"Population Estimates using Administrative Data","2023","Both sexes","UK","Number","8421"
"Population Estimates using Administrative Data","2023","Both sexes","Croatian","Number","1381"
"Population Estimates using Administrative Data","2023","Both sexes","Hungarian","Number","1020"
"Population Estimates using Administrative Data","2023","Both sexes","Irish","Number","105790"
"Population Estimates using Administrative Data","2023","Both sexes","Indian","Number","22758"
"Population Estimates using Administrative Data","2023","Both sexes","Italian","Number","5305"
"Population Estimates using Administrative Data","2023","Both sexes","Lithuanian","Number","1695"
"Population Estimates using Administrative Data","2023","Both sexes","Latvian","Number","1078"
"Population Estimates using Administrative Data","2023","Both sexes","Nigerian","Number","3091"
"Population Estimates using Administrative Data","2023","Both sexes","Dutch","Number","685"
"Population Estimates using Administrative Data","2023","Both sexes","Other EU28","Number","2628"
"Population Estimates using Administrative Data","2023","Both sexes","Other nationalities","Number","31921"
"Population Estimates using Administrative Data","2023","Both sexes","Filipino","Number","2914"
"Population Estimates using Administrative Data","2023","Both sexes","Pakistani","Number","2813"
"Population Estimates using Administrative Data","2023","Both sexes","Polish","Number","5643"
"Population Estimates using Administrative Data","2023","Both sexes","Portuguese","Number","3619"
"Population Estimates using Administrative Data","2023","Both sexes","Romanian","Number","12972"
"Population Estimates using Administrative Data","2023","Both sexes","Slovak","Number","830"
"Population Estimates using Administrative Data","2023","Both sexes","Ukrainian","Number","35707"
"Population Estimates using Administrative Data","2023","Both sexes","American (US)","Number","2391"
"Population Estimates using Administrative Data","2023","Both sexes","South African","Number","2650"
"Population Estimates using Administrative Data","2023","Both sexes","Not stated","Number","0"
"Population Estimates using Administrative Data","2023","Both sexes","All nationalities","Number","285050"
"Population Estimates using Administrative Data","2023","Male","Australian","Number","447"
"Population Estimates using Administrative Data","2023","Male","Bulgarian","Number","696"
"Population Estimates using Administrative Data","2023","Male","Brazilian","Number","7157"
"Population Estimates using Administrative Data","2023","Male","Chinese","Number","1279"
"Population Estimates using Administrative Data","2023","Male","Czech","Number","311"
"Population Estimates using Administrative Data","2023","Male","German","Number","810"
"Population Estimates using Administrative Data","2023","Male","Spanish","Number","2910"
"Population Estimates using Administrative Data","2023","Male","French","Number","1242"
"Population Estimates using Administrative Data","2023","Male","UK","Number","4769"
"Population Estimates using Administrative Data","2023","Male","Croatian","Number","820"
"Population Estimates using Administrative Data","2023","Male","Hungarian","Number","562"
"Population Estimates using Administrative Data","2023","Male","Irish","Number","56431"
"Population Estimates using Administrative Data","2023","Male","Indian","Number","11638"
"Population Estimates using Administrative Data","2023","Male","Italian","Number","2891"
"Population Estimates using Administrative Data","2023","Male","Lithuanian","Number","1061"
"Population Estimates using Administrative Data","2023","Male","Latvian","Number","598"
"Population Estimates using Administrative Data","2023","Male","Nigerian","Number","1699"
"Population Estimates using Administrative Data","2023","Male","Dutch","Number","381"
"Population Estimates using Administrative Data","2023","Male","Other EU28","Number","1354"
"Population Estimates using Administrative Data","2023","Male","Other nationalities","Number","18042"
"Population Estimates using Administrative Data","2023","Male","Filipino","Number","1361"
"Population Estimates using Administrative Data","2023","Male","Pakistani","Number","1778"
"Population Estimates using Administrative Data","2023","Male","Polish","Number","3292"
"Population Estimates using Administrative Data","2023","Male","Portuguese","Number","2272"
"Population Estimates using Administrative Data","2023","Male","Romanian","Number","8847"
"Population Estimates using Administrative Data","2023","Male","Slovak","Number","438"
"Population Estimates using Administrative Data","2023","Male","Ukrainian","Number","14798"
"Population Estimates using Administrative Data","2023","Male","American (US)","Number","979"
"Population Estimates using Administrative Data","2023","Male","South African","Number","1430"
"Population Estimates using Administrative Data","2023","Male","Not stated","Number","0"
"Population Estimates using Administrative Data","2023","Male","All nationalities","Number","150293"
"Population Estimates using Administrative Data","2023","Female","Australian","Number","481"
"Population Estimates using Administrative Data","2023","Female","Bulgarian","Number","560"
"Population Estimates using Administrative Data","2023","Female","Brazilian","Number","6992"
"Population Estimates using Administrative Data","2023","Female","Chinese","Number","1303"
"Population Estimates using Administrative Data","2023","Female","Czech","Number","367"
"Population Estimates using Administrative Data","2023","Female","German","Number","869"
"Population Estimates using Administrative Data","2023","Female","Spanish","Number","3225"
"Population Estimates using Administrative Data","2023","Female","French","Number","1089"
"Population Estimates using Administrative Data","2023","Female","UK","Number","3652"
"Population Estimates using Administrative Data","2023","Female","Croatian","Number","561"
"Population Estimates using Administrative Data","2023","Female","Hungarian","Number","458"
"Population Estimates using Administrative Data","2023","Female","Irish","Number","49359"
"Population Estimates using Administrative Data","2023","Female","Indian","Number","11120"
"Population Estimates using Administrative Data","2023","Female","Italian","Number","2414"
"Population Estimates using Administrative Data","2023","Female","Lithuanian","Number","634"
"Population Estimates using Administrative Data","2023","Female","Latvian","Number","480"
"Population Estimates using Administrative Data","2023","Female","Nigerian","Number","1392"
"Population Estimates using Administrative Data","2023","Female","Dutch","Number","304"
"Population Estimates using Administrative Data","2023","Female","Other EU28","Number","1274"
"Population Estimates using Administrative Data","2023","Female","Other nationalities","Number","13879"
"Population Estimates using Administrative Data","2023","Female","Filipino","Number","1553"
"Population Estimates using Administrative Data","2023","Female","Pakistani","Number","1035"
"Population Estimates using Administrative Data","2023","Female","Polish","Number","2351"
"Population Estimates using Administrative Data","2023","Female","Portuguese","Number","1347"
"Population Estimates using Administrative Data","2023","Female","Romanian","Number","4125"
"Population Estimates using Administrative Data","2023","Female","Slovak","Number","392"
"Population Estimates using Administrative Data","2023","Female","Ukrainian","Number","20909"
"Population Estimates using Administrative Data","2023","Female","American (US)","Number","1412"
"Population Estimates using Administrative Data","2023","Female","South African","Number","1220"
"Population Estimates using Administrative Data","2023","Female","Not stated","Number","0"
"Population Estimates using Administrative Data","2023","Female","All nationalities","Number","134757"
