"Statistic Label","Census Year","Ethnicity","Citizenship","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Roma","Other America(1)","Number","80"
"Population Usually Resident and Present in the State","2022","Roma","Other countries","Number","115"
"Population Usually Resident and Present in the State","2022","Roma","Multiple/Dual citizenship","Number","463"
"Population Usually Resident and Present in the State","2022","Roma","No citizenship","Number","161"
"Population Usually Resident and Present in the State","2022","Roma","Citizenship not stated","Number","250"
"Population Usually Resident and Present in the State","2022","Any other White background","All citizenships","Number","502081"
"Population Usually Resident and Present in the State","2022","Any other White background","Ireland","Number","119428"
"Population Usually Resident and Present in the State","2022","Any other White background","Croatia","Number","12292"
"Population Usually Resident and Present in the State","2022","Any other White background","France","Number","9789"
"Population Usually Resident and Present in the State","2022","Any other White background","Germany","Number","10136"
"Population Usually Resident and Present in the State","2022","Any other White background","Italy","Number","13029"
"Population Usually Resident and Present in the State","2022","Any other White background","Latvia","Number","15532"
"Population Usually Resident and Present in the State","2022","Any other White background","Lithuania","Number","25425"
"Population Usually Resident and Present in the State","2022","Any other White background","Poland","Number","79998"
"Population Usually Resident and Present in the State","2022","Any other White background","Romania","Number","32075"
"Population Usually Resident and Present in the State","2022","Any other White background","Spain","Number","13286"
"Population Usually Resident and Present in the State","2022","Any other White background","Ukraine","Number","5598"
"Population Usually Resident and Present in the State","2022","Any other White background","United Kingdom of Great Britain and Northern Ireland (the)","Number","63333"
"Population Usually Resident and Present in the State","2022","Any other White background","Other EU27 (2020)","Number","37944"
"Population Usually Resident and Present in the State","2022","Any other White background","Rest of Europe(1)","Number","10114"
"Population Usually Resident and Present in the State","2022","Any other White background","Africa","Number","6094"
"Population Usually Resident and Present in the State","2022","Any other White background","China","Number","50"
"Population Usually Resident and Present in the State","2022","Any other White background","India","Number","122"
"Population Usually Resident and Present in the State","2022","Any other White background","Other Asia(1)","Number","2250"
"Population Usually Resident and Present in the State","2022","Any other White background","Australia","Number","1822"
"Population Usually Resident and Present in the State","2022","Any other White background","United States of America (the)","Number","8113"
"Population Usually Resident and Present in the State","2022","Any other White background","Brazil","Number","13251"
"Population Usually Resident and Present in the State","2022","Any other White background","Other America(1)","Number","4791"
"Population Usually Resident and Present in the State","2022","Any other White background","Other countries","Number","2747"
"Population Usually Resident and Present in the State","2022","Any other White background","Multiple/Dual citizenship","Number","9876"
"Population Usually Resident and Present in the State","2022","Any other White background","No citizenship","Number","2853"
"Population Usually Resident and Present in the State","2022","Any other White background","Citizenship not stated","Number","2133"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","All citizenships","Number","67546"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Ireland","Number","43862"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Croatia","Number","1"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","France","Number","344"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Germany","Number","266"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Italy","Number","272"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Latvia","Number","1"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Lithuania","Number","3"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Poland","Number","11"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Romania","Number","6"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Spain","Number","192"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Ukraine","Number","47"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","United Kingdom of Great Britain and Northern Ireland (the)","Number","644"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Other EU27 (2020)","Number","995"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Rest of Europe(1)","Number","63"
