"Statistic Label","Month","County","Driving Test Categories","UNIT","VALUE"
"Driving Tests Delivered","2021 January","Co. Donegal","Category B (Car or light van)","Number","335"
"Driving Tests Delivered","2021 January","Co. Donegal","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Donegal","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Donegal","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 January","Co. Donegal","Category A (Motorcycle All)","Number","1"
"Driving Tests Delivered","2021 January","Co. Donegal","Category BE (Car with Trailer)","Number","4"
"Driving Tests Delivered","2021 January","Co. Donegal","Category C1 (Small truck / large van)","Number","1"
"Driving Tests Delivered","2021 January","Co. Donegal","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Donegal","Category C (Truck)","Number","20"
"Driving Tests Delivered","2021 January","Co. Donegal","Category CE (Articulated Truck)","Number","8"
"Driving Tests Delivered","2021 January","Co. Donegal","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 January","Co. Donegal","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Donegal","Category D (Bus)","Number","6"
"Driving Tests Delivered","2021 January","Co. Donegal","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Donegal","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Donegal","CPC Practical Test (Bus)","Number","3"
"Driving Tests Delivered","2021 January","Co. Donegal","CPC Practical Test (Truck/Artic)","Number","2"
"Driving Tests Delivered","2021 January","Co. Dublin","All Test Categories","Number","4264"
"Driving Tests Delivered","2021 January","Co. Dublin","Category B (Car or light van)","Number","3984"
"Driving Tests Delivered","2021 January","Co. Dublin","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Dublin","Category A1 (Motorcycle - low power)","Number","3"
"Driving Tests Delivered","2021 January","Co. Dublin","Category A2 (Motorcycle - medium power)","Number","12"
"Driving Tests Delivered","2021 January","Co. Dublin","Category A (Motorcycle All)","Number","69"
"Driving Tests Delivered","2021 January","Co. Dublin","Category BE (Car with Trailer)","Number","2"
"Driving Tests Delivered","2021 January","Co. Dublin","Category C1 (Small truck / large van)","Number","15"
"Driving Tests Delivered","2021 January","Co. Dublin","Category C1E (Small truck / large van with trailer)","Number","2"
"Driving Tests Delivered","2021 January","Co. Dublin","Category C (Truck)","Number","57"
"Driving Tests Delivered","2021 January","Co. Dublin","Category CE (Articulated Truck)","Number","27"
"Driving Tests Delivered","2021 January","Co. Dublin","Category D1 (Minibus)","Number","6"
"Driving Tests Delivered","2021 January","Co. Dublin","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Dublin","Category D (Bus)","Number","50"
"Driving Tests Delivered","2021 January","Co. Dublin","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Dublin","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Dublin","CPC Practical Test (Bus)","Number","25"
"Driving Tests Delivered","2021 January","Co. Dublin","CPC Practical Test (Truck/Artic)","Number","12"
"Driving Tests Delivered","2021 January","Co. Galway","All Test Categories","Number","595"
"Driving Tests Delivered","2021 January","Co. Galway","Category B (Car or light van)","Number","546"
"Driving Tests Delivered","2021 January","Co. Galway","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Galway","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Galway","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 January","Co. Galway","Category A (Motorcycle All)","Number","8"
"Driving Tests Delivered","2021 January","Co. Galway","Category BE (Car with Trailer)","Number","3"
"Driving Tests Delivered","2021 January","Co. Galway","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2021 January","Co. Galway","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Galway","Category C (Truck)","Number","8"
"Driving Tests Delivered","2021 January","Co. Galway","Category CE (Articulated Truck)","Number","1"
"Driving Tests Delivered","2021 January","Co. Galway","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 January","Co. Galway","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Galway","Category D (Bus)","Number","24"
"Driving Tests Delivered","2021 January","Co. Galway","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Galway","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Galway","CPC Practical Test (Bus)","Number","4"
"Driving Tests Delivered","2021 January","Co. Galway","CPC Practical Test (Truck/Artic)","Number","1"
"Driving Tests Delivered","2021 January","Co. Kildare","All Test Categories","Number","481"
"Driving Tests Delivered","2021 January","Co. Kildare","Category B (Car or light van)","Number","442"
"Driving Tests Delivered","2021 January","Co. Kildare","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Kildare","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Kildare","Category A2 (Motorcycle - medium power)","Number","1"
"Driving Tests Delivered","2021 January","Co. Kildare","Category A (Motorcycle All)","Number","16"
"Driving Tests Delivered","2021 January","Co. Kildare","Category BE (Car with Trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Kildare","Category C1 (Small truck / large van)","Number","2"
"Driving Tests Delivered","2021 January","Co. Kildare","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Kildare","Category C (Truck)","Number","15"
"Driving Tests Delivered","2021 January","Co. Kildare","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2021 January","Co. Kildare","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 January","Co. Kildare","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Kildare","Category D (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Kildare","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Kildare","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Kildare","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Kildare","CPC Practical Test (Truck/Artic)","Number","5"
"Driving Tests Delivered","2021 January","Co. Kilkenny","All Test Categories","Number","121"
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category B (Car or light van)","Number","111"
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category A (Motorcycle All)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category BE (Car with Trailer)","Number","6"
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category C1 (Small truck / large van)","Number","1"
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category C (Truck)","Number","3"
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category D (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Kilkenny","CPC Practical Test (Truck/Artic)","Number",""
"Driving Tests Delivered","2021 January","Co. Kerry","All Test Categories","Number","392"
"Driving Tests Delivered","2021 January","Co. Kerry","Category B (Car or light van)","Number","339"
"Driving Tests Delivered","2021 January","Co. Kerry","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Kerry","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Kerry","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 January","Co. Kerry","Category A (Motorcycle All)","Number","5"
"Driving Tests Delivered","2021 January","Co. Kerry","Category BE (Car with Trailer)","Number","23"
"Driving Tests Delivered","2021 January","Co. Kerry","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2021 January","Co. Kerry","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Kerry","Category C (Truck)","Number","7"
"Driving Tests Delivered","2021 January","Co. Kerry","Category CE (Articulated Truck)","Number","6"
"Driving Tests Delivered","2021 January","Co. Kerry","Category D1 (Minibus)","Number","1"
"Driving Tests Delivered","2021 January","Co. Kerry","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Kerry","Category D (Bus)","Number","4"
"Driving Tests Delivered","2021 January","Co. Kerry","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Kerry","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Kerry","CPC Practical Test (Bus)","Number","5"
"Driving Tests Delivered","2021 January","Co. Kerry","CPC Practical Test (Truck/Artic)","Number","2"
"Driving Tests Delivered","2021 January","Co. Longford","All Test Categories","Number","117"
"Driving Tests Delivered","2021 January","Co. Longford","Category B (Car or light van)","Number","111"
"Driving Tests Delivered","2021 January","Co. Longford","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","Category A (Motorcycle All)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","Category BE (Car with Trailer)","Number","3"
"Driving Tests Delivered","2021 January","Co. Longford","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","Category C (Truck)","Number","3"
"Driving Tests Delivered","2021 January","Co. Longford","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","Category D (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","Category W (Tractor)","Number",""
